s_m,x_m,y_m,vx_mps,width_left_m,width_right_m
325.8102592,-42.9059382,3.0223875,11.6241781,1.1282054,1.0272488
325.9102317,-42.9622714,3.1049777,11.6464348,1.1302959,1.0264197
326.0102041,-43.0186047,3.1875679,11.6685600,1.1323864,1.0255905
326.1101766,-43.0749371,3.2701584,11.6905549,1.1344769,1.0247613
326.2101491,-43.1312679,3.3527500,11.7124206,1.1365674,1.0239321
326.3101215,-43.1875963,3.4353431,11.7341580,1.1386579,1.0231029
326.4100940,-43.2439214,3.5179382,11.7557684,1.1407484,1.0222737
326.5100664,-43.3002425,3.6005360,11.7772527,1.1428389,1.0214445
326.6100389,-43.3565587,3.6831371,11.7986119,1.1449294,1.0206153
326.7100114,-43.4128692,3.7657418,11.8198472,1.1470208,1.0197546
326.8099838,-43.4691732,3.8483509,11.8409595,1.1491146,1.0188229
326.9099563,-43.5254705,3.9309656,11.8619497,1.1512083,1.0178912
327.0099288,-43.5817596,4.0135857,11.8828189,1.1533020,1.0169594
327.1099012,-43.6380398,4.0962118,11.9035681,1.1553957,1.0160277
327.2098737,-43.6943103,4.1788444,11.9241982,1.1574894,1.0150960
327.3098462,-43.7505702,4.2614841,11.9447102,1.1595831,1.0141642
327.4098186,-43.8068188,4.3441315,11.9651050,1.1616768,1.0132325
327.5097911,-43.8630552,4.4267870,11.9853835,1.1637705,1.0123008
327.6097636,-43.9192786,4.5094512,12.0055467,1.1658643,1.0113690
327.7097360,-43.9754883,4.5921248,12.0255954,1.1679869,1.0103051
327.8097085,-44.0316833,4.6748082,12.0455305,1.1701826,1.0089064
327.9096809,-44.0878633,4.7575025,12.0653530,1.1723784,1.0075077
328.0096534,-44.1440271,4.8402078,12.0850636,1.1745742,1.0061090
328.1096259,-44.2001738,4.9229246,12.1046634,1.1767700,1.0047104
328.2095983,-44.2563027,5.0056534,12.1241530,1.1789657,1.0033117
328.3095708,-44.3124129,5.0883948,12.1435335,1.1811615,1.0019130
328.4095433,-44.3685036,5.1711494,12.1628055,1.1833573,1.0005143
328.5095157,-44.4245740,5.2539176,12.1819699,1.1855531,0.9991156
328.6094882,-44.4806233,5.3367001,12.2010276,1.1877488,0.9977169
328.7094607,-44.5366507,5.4194974,12.2199793,1.1900037,0.9959822
328.8094331,-44.5926553,5.5023100,12.2388259,1.1924272,0.9932891
328.9094056,-44.6486366,5.5851388,12.2575681,1.1948508,0.9905959
329.0093780,-44.7045936,5.6679841,12.2762067,1.1972743,0.9879027
329.1093505,-44.7605253,5.7508463,12.2947424,1.1996978,0.9852095
329.2093230,-44.8164311,5.8337260,12.3131762,1.2021213,0.9825164
329.3092954,-44.8723100,5.9166238,12.3315086,1.2045448,0.9798232
329.4092679,-44.9281612,5.9995402,12.3497405,1.2069683,0.9771300
329.5092404,-44.9839840,6.0824757,12.3678725,1.2093919,0.9744369
329.6092128,-45.0397775,6.1654309,12.3859055,1.2118154,0.9717437
329.7091853,-45.0955410,6.2484063,12.4038401,1.2143097,0.9689818
329.8091578,-45.1512735,6.3314024,12.4216770,1.2170335,0.9659977
329.9091302,-45.2069743,6.4144200,12.4394170,1.2197573,0.9630135
330.0091027,-45.2626425,6.4974593,12.4570608,1.2224810,0.9600293
330.1090751,-45.3182774,6.5805211,12.4746090,1.2252048,0.9570451
330.2090476,-45.3738780,6.6636058,12.4920624,1.2279285,0.9540609
330.3090201,-45.4294437,6.7467138,12.5094215,1.2306523,0.9510767
330.4089925,-45.4849734,6.8298459,12.5266872,1.2333760,0.9480925
330.5089650,-45.5404665,6.9130024,12.5438600,1.2360998,0.9451084
330.6089375,-45.5959221,6.9961840,12.5609406,1.2388235,0.9421242
330.7089099,-45.6513393,7.0793911,12.5779297,1.2416257,0.9390477
330.8088824,-45.7067174,7.1626243,12.5948279,1.2447189,0.9356292
330.9088549,-45.7620554,7.2458840,12.6116358,1.2478120,0.9322106
331.0088273,-45.8173525,7.3291708,12.6283540,1.2509052,0.9287921
331.1087998,-45.8726081,7.4124853,12.6449833,1.2539983,0.9253735
331.2087722,-45.9278211,7.4958280,12.6615242,1.2570915,0.9219550
331.3087447,-45.9829908,7.5791994,12.6779773,1.2601846,0.9185364
331.4087172,-46.0381164,7.6626000,12.6943433,1.2632778,0.9151179
331.5086896,-46.0931970,7.7460304,12.7106227,1.2663709,0.9116993
331.6086621,-46.1482318,7.8294910,12.7268161,1.2694641,0.9082808
331.7086346,-46.2032200,7.9129825,12.7429241,1.2726466,0.9047880
331.8086070,-46.2581607,7.9965052,12.7589473,1.2762135,0.9009760
331.9085795,-46.3130528,8.0800594,12.7748863,1.2797803,0.8971641
332.0085520,-46.3678958,8.1636459,12.7907417,1.2833471,0.8933521
332.1085244,-46.4226888,8.2472652,12.8065140,1.2869140,0.8895401
332.2084969,-46.4774309,8.3309179,12.8222037,1.2904808,0.8857282
