s_m,x_m,y_m,vx_mps,width_left_m,width_right_m
7.6488428,1.1177523,-0.1288922,2.2800704,1.0935380,0.3772851
7.6988352,1.1670576,-0.1371515,2.3053700,1.1073865,0.3671736
7.7488277,1.2164329,-0.1447769,2.3304815,1.1165633,0.3605955
7.7988201,1.2658697,-0.1517890,2.3554667,1.1257401,0.3540175
7.8488125,1.3153600,-0.1582084,2.3803789,1.1349168,0.3474394
7.8988050,1.3648955,-0.1640556,2.4052703,1.1440936,0.3408613
7.9487974,1.4144781,-0.1693524,2.4303028,1.1532703,0.3342833
7.9987899,1.4642729,-0.1741366,2.4556255,1.1624471,0.3277052
8.0487823,1.5140951,-0.1784184,2.4813750,1.1716239,0.3211271
8.0987747,1.5639429,-0.1822297,2.5076766,1.1808006,0.3145491
8.1487672,1.6138144,-0.1856025,2.5346376,1.1899774,0.3079710
8.1987596,1.6637078,-0.1885688,2.5622383,1.1972793,0.3027207
8.2487520,1.7136211,-0.1911606,2.5904549,1.1975507,0.3024493
8.2987445,1.7635525,-0.1934099,2.6191724,1.1978220,0.3021780
8.3487369,1.8135001,-0.1953487,2.6481207,1.1980934,0.3019066
8.3987293,1.8634620,-0.1970090,2.6770410,1.1983647,0.3016353
8.4487218,1.9134347,-0.1984227,2.7056855,1.1986361,0.3013639
8.4987142,1.9633909,-0.1996157,2.7338179,1.1989074,0.3010926
8.5487067,2.0133569,-0.2005960,2.7613017,1.1991788,0.3008212
8.5986991,2.0633315,-0.2013670,2.7881640,1.1994502,0.3005498
8.6486915,2.1133140,-0.2019317,2.8144299,1.1997215,0.3002785
8.6986840,2.1633033,-0.2022935,2.8401230,1.1999929,0.3000071
8.7486764,2.2132986,-0.2024555,2.8652653,1.1975256,0.3024744
8.7986688,2.2632990,-0.2024211,2.8898777,1.1949843,0.3050157
8.8486613,2.3133034,-0.2021934,2.9139798,1.1924430,0.3075570
8.8986537,2.3633111,-0.2017757,2.9375898,1.1899017,0.3100983
8.9486461,2.4133181,-0.2011712,2.9595123,1.1873603,0.3126397
8.9986386,2.4632757,-0.2003815,2.9766181,1.1848190,0.3151810
9.0486310,2.5132342,-0.1993976,2.9890054,1.1822777,0.3177223
9.0986235,2.5631931,-0.1982092,2.9967689,1.1797364,0.3202636
9.1486159,2.6131521,-0.1968062,3.0000000,1.1771951,0.3228049
9.1986083,2.6631106,-0.1951781,3.0000000,1.1746538,0.3253462
9.2486008,2.7130683,-0.1933148,3.0000000,1.1727322,0.3272678
9.2985932,2.7630246,-0.1912060,3.0000000,1.1710319,0.3289681
9.3485856,2.8129790,-0.1888413,3.0000000,1.1693316,0.3306684
9.3985781,2.8629312,-0.1862105,3.0000000,1.1676313,0.3323687
9.4485705,2.9128755,-0.1833037,3.0000000,1.1659310,0.3340690
9.4985629,2.9626973,-0.1801183,3.0000000,1.1642307,0.3357693
9.5485554,3.0125134,-0.1766372,3.0000000,1.1625305,0.3374695
9.5985478,3.0623215,-0.1728500,3.0000000,1.1608302,0.3391698
9.6485403,3.1121191,-0.1687462,3.0000000,1.1591299,0.3408701
9.6985327,3.1619038,-0.1643155,3.0000000,1.1574296,0.3425704
9.7485251,3.2116732,-0.1595474,3.0000000,1.1562235,0.3437765
9.7985176,3.2614249,-0.1544314,3.0000000,1.1555116,0.3444884
9.8485100,3.3111565,-0.1489572,3.0000000,1.1547997,0.3452003
9.8985024,3.3608655,-0.1431142,3.0000000,1.1540877,0.3459123
9.9484949,3.4105487,-0.1368921,3.0000000,1.1533758,0.3466242
9.9984873,3.4600197,-0.1303061,2.9999433,1.1526639,0.3473361
10.0484797,3.5094579,-0.1233254,2.9967038,1.1519520,0.3480480
10.0984722,3.5588576,-0.1159419,2.9903258,1.1512401,0.3487599
10.1484646,3.6082132,-0.1081475,2.9808543,1.1505282,0.3494718
10.1984571,3.6575190,-0.0999342,2.9683354,1.1498162,0.3501838
10.2484495,3.7067693,-0.0912939,2.9528732,1.1475235,0.3524765
10.2984419,3.7559585,-0.0822186,2.9376418,1.1408042,0.3591958
10.3484344,3.8050809,-0.0727002,2.9226464,1.1340849,0.3659151
