s_m,x_m,y_m,vx_mps,width_left_m,width_right_m
4.2428712,2.0729098,-0.2016626,2.8401464,0.9944501,0.5055499
4.2927873,2.1228018,-0.1999425,2.8652500,0.9929260,0.5070740
4.3427035,2.1726983,-0.1982412,2.8898253,0.9914020,0.5085980
4.3926196,2.2225990,-0.1965703,2.9138918,0.9898779,0.5101221
4.4425357,2.2725036,-0.1949415,2.9374676,0.9883538,0.5116462
4.4924519,2.3224091,-0.1933666,2.9594010,0.9868298,0.5131702
4.5423680,2.3722996,-0.1918546,2.9765247,0.9853057,0.5146943
4.5922841,2.4221930,-0.1904056,2.9889367,0.9841045,0.5162485
4.6422003,2.4720892,-0.1890186,2.9967314,0.9832650,0.5178365
4.6921164,2.5219878,-0.1876927,3.0000000,0.9824255,0.5194245
4.7420325,2.5718885,-0.1864270,3.0000000,0.9815860,0.5210125
4.7919487,2.6217911,-0.1852207,3.0000000,0.9807465,0.5226005
4.8418648,2.6716952,-0.1840727,3.0000000,0.9799070,0.5241885
4.8917809,2.7216006,-0.1829823,3.0000000,0.9790675,0.5257765
4.9416971,2.7715070,-0.1819485,3.0000000,0.9782280,0.5273646
4.9916132,2.8214143,-0.1809705,3.0000000,0.9773885,0.5289526
5.0415293,2.8713240,-0.1800473,3.0000000,0.9765489,0.5305406
5.0914454,2.9212340,-0.1791783,3.0000000,0.9762728,0.5323524
5.1413616,2.9711444,-0.1783628,3.0000000,0.9772996,0.5346817
5.1912777,3.0210552,-0.1776001,3.0000000,0.9783263,0.5370110
5.2411938,3.0709662,-0.1768896,3.0000000,0.9793530,0.5393403
5.2911100,3.1208776,-0.1762306,3.0000000,0.9803798,0.5416696
5.3410261,3.1707892,-0.1756224,3.0000000,0.9814065,0.5439989
5.3909422,3.2207011,-0.1750643,3.0000000,0.9824332,0.5463282
5.4408584,3.2706132,-0.1745557,3.0000000,0.9834600,0.5486575
5.4907745,3.3205263,-0.1740959,3.0000000,0.9844867,0.5509868
5.5406906,3.3704444,-0.1736842,3.0000000,0.9855135,0.5533161
5.5906068,3.4203624,-0.1733201,3.0000000,0.9865969,0.5556017
5.6405229,3.4702801,-0.1730031,3.0000000,0.9880527,0.5576002
5.6904390,3.5201974,-0.1727325,3.0000000,0.9895085,0.5595987
5.7403552,3.5701140,-0.1725079,3.0000000,0.9909643,0.5615973
5.7902713,3.6200297,-0.1723286,3.0000000,0.9924201,0.5635958
5.8401874,3.6699444,-0.1721941,3.0000000,0.9938760,0.5655943
5.8901036,3.7198579,-0.1721040,3.0000000,0.9953318,0.5675929
5.9400197,3.7697699,-0.1720575,3.0000000,0.9967876,0.5695914
5.9899358,3.8196815,-0.1720542,3.0000000,0.9982434,0.5715899
6.0398520,3.8695982,-0.1720936,3.0000000,0.9996993,0.5735885
6.0897681,3.9195136,-0.1721750,3.0000000,1.0011551,0.5755870
6.1396842,3.9694280,-0.1722980,3.0000000,1.0021630,0.5763809
6.1896003,4.0193419,-0.1724620,3.0000000,1.0031534,0.5771276
6.2395165,4.0692557,-0.1726664,3.0000000,1.0041437,0.5778743
6.2894326,4.1191698,-0.1729109,3.0000000,1.0051341,0.5786209
6.3393487,4.1690846,-0.1731947,3.0000000,1.0061245,0.5793676
6.3892649,4.2190005,-0.1735175,3.0000000,1.0071148,0.5801143
6.4391810,4.2689179,-0.1738786,3.0000000,1.0081052,0.5808610
6.4890971,4.3188358,-0.1742774,3.0000000,1.0090956,0.5816076
6.5390133,4.3687484,-0.1747135,3.0000000,1.0100859,0.5823543
6.5889294,4.4186626,-0.1751864,3.0000000,1.0110763,0.5831010
6.6388455,4.4685778,-0.1756954,3.0000000,1.0119308,0.5829878
6.6887617,4.5184933,-0.1762402,3.0000000,1.0127497,0.5826495
6.7386778,4.5684085,-0.1768201,3.0000000,1.0135687,0.5823111
6.7885939,4.6183229,-0.1774347,3.0000000,1.0143876,0.5819728
6.8385101,4.6682359,-0.1780833,3.0000000,1.0152065,0.5816345
6.8884262,4.7181467,-0.1787656,3.0000000,1.0160255,0.5812961
6.9383423,4.7680549,-0.1794810,3.0000000,1.0168444,0.5809578
6.9882585,4.8179631,-0.1802289,3.0000000,1.0176633,0.5806194
7.0381746,4.8678820,-0.1810091,3.0000000,1.0184823,0.5802811
7.0880907,4.9177976,-0.1818208,3.0000000,1.0193012,0.5799427
7.1380069,4.9677100,-0.1826634,3.0000000,1.0202331,0.5792274
7.1879230,5.0176197,-0.1835362,3.0000000,1.0212334,0.5782836
7.2378391,5.0675269,-0.1844388,3.0000000,1.0222337,0.5773399
7.2877552,5.1174319,-0.1853705,3.0000000,1.0232339,0.5763961
7.3376714,5.1673351,-0.1863308,3.0000000,1.0242342,0.5754523
7.3875875,5.2172368,-0.1873191,3.0000000,1.0252345,0.5745085
7.4375036,5.2671372,-0.1883348,3.0000000,1.0262348,0.5735647
7.4874198,5.3170373,-0.1893773,3.0000000,1.0272351,0.5726210
7.5373359,5.3669392,-0.1904462,3.0000000,1.0282354,0.5716772
7.5872520,5.4168407,-0.1915411,3.0000000,1.0292357,0.5707334
7.6371682,5.4667419,-0.1926615,3.0000000,1.0303043,0.5696957
7.6870843,5.5166431,-0.1938071,3.0000000,1.0314553,0.5685447
7.7370004,5.5665445,-0.1949775,3.0000000,1.0326064,0.5673936
7.7869166,5.6164462,-0.1961724,3.0000000,1.0337575,0.5662425
7.8368327,5.6663484,-0.1973915,3.0000000,1.0349086,0.5650914
7.8867488,5.7162514,-0.1986342,3.0000000,1.0360597,0.5639403
7.9366650,5.7661553,-0.1999003,3.0000000,1.0372108,0.5627892
7.9865811,5.8160581,-0.2011894,3.0000000,1.0383619,0.5616381
8.0364972,5.8659540,-0.2025008,3.0000000,1.0395130,0.5604870
8.0864134,5.9158509,-0.2038344,3.0000000,1.0406641,0.5593359
8.1363295,5.9657484,-0.2051896,3.0000000,1.0414529,0.5577024
8.1862456,6.0156462,-0.2065660,3.0000000,1.0413239,0.5548469
8.2361618,6.0655439,-0.2079631,3.0000000,1.0411949,0.5519913
8.2860779,6.1154413,-0.2093805,3.0000000,1.0410659,0.5491357
8.3359940,6.1653382,-0.2108175,3.0000000,1.0409369,0.5462802
8.3859101,6.2152340,-0.2122739,3.0000000,1.0408079,0.5434246
8.4358263,6.2651287,-0.2137491,3.0000000,1.0406789,0.5405690
8.4857424,6.3150207,-0.2152426,3.0000000,1.0405499,0.5377135
8.5356585,6.3649077,-0.2167537,3.0000000,1.0404209,0.5348579
8.5855747,6.4147938,-0.2182817,3.0000000,1.0402919,0.5320023
8.6354908,6.4646797,-0.2198257,3.0000000,1.0402088,0.5291420
8.6854069,6.5145662,-0.2213848,3.0000000,1.0404858,0.5262442
8.7353231,6.5644541,-0.2229582,3.0000000,1.0407628,0.5233464
8.7852392,6.6143440,-0.2245450,3.0000000,1.0410398,0.5204486
8.8351553,6.6642366,-0.2261444,3.0000000,1.0413167,0.5175508
8.8850715,6.7141328,-0.2277553,3.0000000,1.0415937,0.5146530
8.9349876,6.7640332,-0.2293770,3.0000000,1.0418707,0.5117552
8.9849037,6.8139335,-0.2310085,3.0000000,1.0421477,0.5088574
9.0348199,6.8638231,-0.2326467,3.0000000,1.0424246,0.5059596
9.0847360,6.9137166,-0.2342861,3.0000000,1.0427016,0.5030618
9.1346521,6.9636126,-0.2359203,3.0000000,1.0429786,0.5001640
9.1845683,7.0135098,-0.2375428,3.0000000,1.0458872,0.5000000
9.2344844,7.0634069,-0.2391472,3.0000000,1.0489537,0.5000000
9.2844005,7.1133024,-0.2407271,3.0000000,1.0520201,0.5000000
9.3343167,7.1631952,-0.2422761,3.0000000,1.0550866,0.5000000
9.3842328,7.2130838,-0.2437876,2.9973045,1.0581531,0.5000000
9.4341489,7.2629669,-0.2452553,2.9874739,1.0612196,0.5000000
9.4840650,7.3128562,-0.2466730,2.9704543,1.0642861,0.5000000
9.5339812,7.3627762,-0.2480324,2.9461909,1.0673526,0.5000000
9.5838973,7.4126899,-0.2493181,2.9146264,1.0704190,0.5000000
9.6338134,7.4625985,-0.2505153,2.8783964,1.0734855,0.5000000
9.6837296,7.5125034,-0.2516094,2.8418755,1.0755119,0.5003828
9.7336457,7.5624056,-0.2525855,2.8050480,1.0772338,0.5008776
9.7835618,7.6123065,-0.2534290,2.7678924,1.0789558,0.5013724
9.8334780,7.6622073,-0.2541250,2.7303818,1.0806777,0.5018672
9.8833941,7.7121091,-0.2546589,2.6925459,1.0823997,0.5023620
9.9333102,7.7620134,-0.2550159,2.6545895,1.0841217,0.5028569
9.9832264,7.8119158,-0.2551811,2.6167405,1.0858436,0.5033517
10.0331425,7.8618075,-0.2551294,2.5792478,1.0875656,0.5038465
10.0830586,7.9117007,-0.2548168,2.5423807,1.0892875,0.5043413
10.1329748,7.9615932,-0.2541973,2.5063664,1.0910095,0.5048361
10.1828909,8.0114825,-0.2532248,2.4712709,1.0904745,0.5064439
10.2328070,8.0613665,-0.2518532,2.4371516,1.0884585,0.5087821
10.2827232,8.1112427,-0.2500364,2.4040583,1.0864424,0.5111203
