s_m,x_m,y_m,vx_mps,width_left_m,width_right_m
8.7639868,4.9048621,0.1847579,2.3420009,0.4555561,0.5444439
8.8635775,4.8092678,0.1566545,2.3828011,0.4241744,0.5758256
8.9631683,4.7131017,0.1310213,2.4238999,0.3927926,0.6072074
9.0627591,4.6164254,0.1077145,2.4656071,0.3614109,0.6385891
9.1623498,4.5192463,0.0865792,2.5081308,0.3300292,0.6699708
9.2619406,4.4215423,0.0674762,2.5511487,0.3103620,0.6896380
9.3615313,4.3234736,0.0503298,2.5937786,0.2935346,0.7064654
9.4611221,4.2250725,0.0350378,2.6362714,0.2767072,0.7232928
9.5607128,4.1263716,0.0214980,2.6788184,0.2598798,0.7401202
9.6603036,4.0275025,0.0096195,2.7215626,0.2430525,0.7569475
9.7598944,3.9285440,-0.0006974,2.7645241,0.2326880,0.7673120
9.8594851,3.8293809,-0.0095666,2.8076662,0.2253242,0.7746758
9.9590759,3.7300434,-0.0170832,2.8510605,0.2179605,0.7820395
10.0586666,3.6305616,-0.0233425,2.8947570,0.2105967,0.7894033
10.1582574,3.5310721,-0.0284345,2.9387876,0.2032329,0.7967671
10.2578482,3.4316009,-0.0324577,2.9831595,0.2004476,0.7995524
10.3574389,3.3320611,-0.0355125,3.0000000,0.2012456,0.7987544
10.4570297,3.2324725,-0.0376932,3.0000000,0.2020436,0.7979564
10.5566204,3.1328552,-0.0390944,3.0000000,0.2028415,0.7971585
10.6562112,3.0332676,-0.0398095,3.0000000,0.2036395,0.7963605
10.7558020,2.9337036,-0.0399242,3.0000000,0.2059855,0.7940145
10.8553927,2.8341286,-0.0395161,3.0000000,0.2103097,0.7896903
10.9549835,2.7345359,-0.0386625,3.0000000,0.2146338,0.7853662
11.0545742,2.6349190,-0.0374407,3.0000000,0.2189579,0.7810421
11.1541650,2.5353762,-0.0359296,3.0000000,0.2232820,0.7767180
11.2537557,2.4358527,-0.0342070,3.0000000,0.2251530,0.7748470
11.3533465,2.3362923,-0.0323504,3.0000000,0.2217403,0.7782597
11.4529373,2.2366926,-0.0304382,3.0000000,0.2183275,0.7816725
11.5525280,2.1370515,-0.0285486,3.0000000,0.2149148,0.7850852
11.6521188,2.0374668,-0.0267522,3.0000000,0.2115020,0.7884980
11.7517095,1.9378874,-0.0250286,3.0000000,0.2084216,0.7915784
11.8513003,1.8382953,-0.0233108,2.9985090,0.2067123,0.7932877
11.9508911,1.7387088,-0.0215317,2.9254258,0.2050030,0.7949970
12.0504818,1.6391463,-0.0196246,2.8502145,0.2032936,0.7967064
12.1500726,1.5395086,-0.0174962,2.7753901,0.2015843,0.7984157
12.2496633,1.4399006,-0.0148813,2.7031190,0.2002689,0.7997311
12.3492541,1.3403694,-0.0114342,2.6343946,0.2039440,0.7960560
12.4488449,1.2409320,-0.0068081,2.5700358,0.2076192,0.7923808
12.5484356,1.1416055,-0.0006563,2.5108185,0.2112943,0.7887057
12.6480264,1.0423930,0.0073448,2.4512062,0.2149694,0.7850306
12.7476171,0.9433500,0.0173699,2.3901216,0.2186446,0.7813554
12.8472079,0.8445272,0.0295403,2.3272428,0.2319513,0.7680487
12.9467986,0.7459728,0.0439771,2.2619887,0.2457520,0.7542480
13.0463894,0.6477349,0.0608015,2.1936450,0.2595526,0.7404474
13.1459802,0.5503337,0.0800790,2.1267099,0.2733533,0.7266467
13.2455709,0.4534731,0.1022296,2.0634225,0.2871539,0.7128461
13.3451617,0.3572825,0.1276700,2.0034822,0.3123308,0.6876692
13.4447524,0.2619197,0.1568114,1.9461587,0.3398499,0.6601501
13.5443432,0.1675423,0.1900652,1.8900096,0.3673689,0.6326311
13.6439340,0.0757047,0.2272516,1.8364015,0.3948880,0.6051120
13.7435247,-0.0144399,0.2691261,1.7864589,0.4224070,0.5775930
13.8431155,-0.1023311,0.3159920,1.7417438,0.4580701,0.5419299
13.9427062,-0.1873950,0.3681479,1.7048079,0.4971030,0.5028970
14.0422970,-0.2690582,0.4258920,1.6821555,0.5361359,0.4638641
14.1418877,-0.3453195,0.4882042,1.6603044,0.5751688,0.4248312
14.2414785,-0.4171954,0.5560543,1.6376981,0.6142018,0.3857982
14.3410693,-0.4842282,0.6293903,1.6140114,0.6497706,0.3502294
14.4406600,-0.5459069,0.7081194,1.5890487,0.6828857,0.3171143
14.5402508,-0.6017207,0.7921490,1.5616210,0.7160008,0.2839992
14.6398415,-0.6500553,0.8792312,1.5245645,0.7491158,0.2508842
